marker,chr,pos
scaffold10369_Locus_7473_0_54.8_LINEAR_841,LG1,0
scaffold10369_Locus_7473_0_54.8_LINEAR_1006,LG1,1e-6
scaffold10369_Locus_7473_0_54.8_LINEAR_1606,LG1,2e-6
scaffold20360_Locus_27621_0_62.3_COMPLEX_640,LG1,3e-6
scaffold20360_Locus_27621_0_62.3_COMPLEX_928,LG1,4e-6
scaffold20360_Locus_27621_0_62.3_COMPLEX_1424,LG1,4.9999999999999996e-6
scaffold20360_Locus_27621_0_62.3_COMPLEX_1611,LG1,6e-6
scaffold20360_Locus_27621_0_62.3_COMPLEX_2810,LG1,7e-6
scaffold19431_Locus_25463_0_54.7_COMPLEX_1723,LG1,0.581429554106685
C190330_56.0_219,LG1,0.581430554106685
scaffold10369_Locus_7473_0_54.8_LINEAR_1333,LG1,0.5814315541066849
scaffold10369_Locus_7473_0_54.8_LINEAR_1411,LG1,0.5814325541066849
scaffold10369_Locus_7473_0_54.8_LINEAR_1441,LG1,0.581433554106685
scaffold10369_Locus_7473_0_54.8_LINEAR_1444,LG1,0.581434554106685
C209334_62.0_457,LG1,0.5814355541066849
C209334_62.0_499,LG1,0.5814365541066849
scaffold19431_Locus_25463_0_54.7_COMPLEX_1591,LG1,0.581437554106685
C209334_62.0_523,LG1,0.581438554106685
C190330_56.0_135,LG1,0.5814395541066849
C190330_56.0_209,LG1,0.5814405541066849
C190330_56.0_360,LG1,0.581441554106685
C190330_56.0_603,LG1,0.581442554106685
C190330_56.0_606,LG1,0.5814435541066849
C209334_62.0_754,LG1,0.5814445541066849
C206904_60.0_1592,LG1,1.1561835097241546
C206904_60.0_532,LG1,1.1561845097241545
C206904_60.0_686,LG1,1.1561855097241547
C206904_60.0_704,LG1,1.1561865097241546
C206904_60.0_746,LG1,1.1561875097241545
C206904_60.0_752,LG1,1.1561885097241547
C206904_60.0_842,LG1,1.1561895097241546
C206904_60.0_996,LG1,1.1561905097241545
C206904_60.0_1142,LG1,1.1561915097241546
scaffold13195_Locus_12272_0_56.9_BUBBLE_507,LG1,2.3328802811737983
C165168_47.0_611,LG1,3.56770016441321
C188320_56.0_649,LG1,4.170139953889723
Locus_10019_Contig1_251,LG1,4.170140953889723
Locus_10019_Contig1_658,LG1,4.170141953889723
Locus_10019_Contig1_736,LG1,4.170142953889723
C188320_56.0_692,LG1,4.170143953889723
