marker,chr,pos
C192644_57.0_305,LG1,0
C192644_57.0_361,LG1,1e-6
C210806_56.0_1378,LG1,2.742474931410613
C188808_45.0_683,LG1,3.4004086393449473
C188808_45.0_689,LG1,3.4004096393449474
C192396_55.0_360,LG1,6.927375595842583
C216102_59.0_1797,LG1,13.017928662286343
C202154_57.0_756,LG1,14.351579179918659
C207678_45.0_1579,LG1,15.009512887852992
C183708_58.0_416,LG1,17.010581579691404
scaffold24486_Locus_40002_0_55.0_LINEAR_554,LG1,17.010582579691405
C199104_60.0_377,LG1,17.010583579691406
scaffold21975_Locus_31709_0_41.1_LINEAR_754,LG1,18.309578052959186
scaffold7607_Locus_3387_0_19.7_LINEAR_1060,LG1,18.309579052959183
C150490_28.0_298,LG1,18.967512760893516
Locus_7052_Contig1_2100,LG1,21.636713146536167
Locus_7052_Contig1_913,LG1,21.636714146536164
C196518_55.0_277,LG1,21.636715146536165
C196518_55.0_573,LG1,21.636716146536166
Locus_27101_Contig1_355,LG1,22.8869776609027
C209606_59.0_608,LG1,22.8869786609027
Locus_27101_Contig1_508,LG1,22.8869796609027
Locus_27101_Contig1_784,LG1,22.8869806609027
Locus_27101_Contig1_827,LG1,22.8869816609027
Locus_27101_Contig1_835,LG1,22.8869826609027
Locus_27101_Contig1_913,LG1,22.8869836609027
Locus_27101_Contig1_971,LG1,22.886984660902698
Locus_27101_Contig1_979,LG1,22.8869856609027
Locus_27101_Contig1_1099,LG1,22.8869866609027
Locus_27101_Contig1_1393,LG1,22.8869876609027
Locus_27101_Contig1_1540,LG1,22.8869886609027
Locus_27101_Contig1_1858,LG1,22.8869896609027
Locus_27101_Contig1_1973,LG1,22.8869906609027
Locus_27101_Contig1_2060,LG1,22.886991660902698
Locus_27101_Contig1_2069,LG1,22.8869926609027
Locus_27101_Contig1_2300,LG1,22.8869936609027
C209140_57.0_451,LG1,24.836033197645495
Locus_1760_Contig1_152,LG1,26.102127518114365
C183474_62.0_367,LG1,26.102128518114366
C183474_62.0_376,LG1,26.102129518114367
Locus_1760_Contig1_290,LG1,26.102130518114365
Locus_1760_Contig1_825,LG1,26.102131518114366
Locus_1388_Contig1_381,LG1,26.102132518114367
C193280_56.0_963,LG1,28.07684380108013
C193280_56.0_938,LG1,28.076844801080128
Locus_326_Contig1_2535,LG1,29.39293913821568
scaffold20129_Locus_27086_0_62.9_LINEAR_2074,LG1,29.392940138215682
scaffold14200_Locus_14227_0_59.0_FORK_703,LG1,31.341979674958473
scaffold14200_Locus_14227_0_59.0_FORK_1209,LG1,31.341980674958474
C205234_56.0_951,LG1,31.341981674958475
C201382_51.0_797,LG1,31.341982674958476
C201382_51.0_1070,LG1,31.341983674958474
C213264_54.0_1760,LG1,31.341984674958475
C188916_57.0_104,LG1,31.341985674958476
C167014_64.0_495,LG1,31.341986674958473
scaffold14200_Locus_14227_0_59.0_FORK_762,LG1,31.341987674958474
C205234_56.0_871,LG1,31.341988674958476
C205234_56.0_519,LG1,31.341989674958477
C212746_59.0_1832,LG1,32.62432303464724
scaffold13122_Locus_12108_0_57.9_COMPLEX_952,LG1,34.62539172648565
C205172_60.0_311,LG1,34.62539272648565
C210460_55.0_1836,LG1,35.24270904124494
C196012_59.0_549,LG1,35.24271004124494
C196012_59.0_1181,LG1,35.24271104124494
C199840_59.0_1368,LG1,35.24271204124494
C213726_61.0_2070,LG1,35.845151830721456
C207980_54.0_1302,LG1,35.84515283072145
C197180_56.0_678,LG1,35.84515383072146
C213726_61.0_2301,LG1,35.845154830721455
C207980_54.0_1383,LG1,35.84515583072146
scaffold25451_Locus_47967_0_51.7_LINEAR_487,LG1,36.4862175960549
scaffold25451_Locus_47967_0_51.7_LINEAR_791,LG1,36.4862185960549
scaffold25451_Locus_47967_0_51.7_LINEAR_906,LG1,36.4862195960549
scaffold25376_Locus_46472_0_39.2_LINEAR_2694,LG1,36.4862205960549
scaffold20706_Locus_28526_0_45.3_LINEAR_1458,LG1,37.12728236138834
scaffold20706_Locus_28526_0_45.3_LINEAR_386,LG1,37.12728336138834
scaffold20706_Locus_28526_0_45.3_LINEAR_1268,LG1,37.12728436138834
scaffold20706_Locus_28526_0_45.3_LINEAR_1817,LG1,37.12728536138834
C214122_59.0_2028,LG1,37.12728636138834
scaffold25308_Locus_45540_0_60.6_LINEAR_2036,LG1,37.12728736138834
C216188_59.0_3139,LG1,37.12728836138834
C216188_59.0_4347,LG1,37.12728936138834
C212758_61.0_612,LG1,37.729729150864856
Locus_1752_Contig1_453,LG1,37.72973015086485
Locus_1752_Contig1_559,LG1,37.72973115086486
