marker,chr,pos
C209554_47.0_578,LG1,0
C209554_47.0_672,LG1,5.016768386553785
scaffold7950_Locus_3907_0_54.4_LINEAR_462,LG1,11.838444053219797
Locus_955_Contig1_1564,LG1,15.618001924146235
C214852_61.0_1751,LG1,19.098188449938302
scaffold25183_Locus_44371_0_49.3_LINEAR_1761,LG1,23.089697840894
scaffold25183_Locus_44371_0_49.3_LINEAR_1666,LG1,27.59336458411287
scaffold25183_Locus_44371_0_49.3_LINEAR_396,LG1,33.38179917017983
C214852_61.0_994,LG1,37.45860721780843
C206886_48.0_365,LG1,41.08598878547545
C214852_61.0_2608,LG1,45.732632269891305
C214852_61.0_1609,LG1,50.32174739573009
C214852_61.0_1432,LG1,52.44166181223201
C214852_61.0_892,LG1,57.20175443279219
C214852_61.0_803,LG1,60.08630728576332
C214852_61.0_859,LG1,63.99254119786781
scaffold5115_Locus_1848_2_48.7_COMPLEX_523,LG1,69.78097578393478
Locus_955_Contig1_516,LG1,72.92069026169942
C214852_61.0_1191,LG1,75.89027966144859
C214852_61.0_1152,LG1,78.34988984049608
C214852_61.0_1105,LG1,83.10998246105626
scaffold9557_Locus_6244_0_60.5_COMPLEX_1929,LG1,89.3770073115307
scaffold9557_Locus_6244_0_60.5_COMPLEX_1269,LG1,93.28324122363519
scaffold5848_Locus_2192_1_54.7_COMPLEX_1954,LG1,98.8141665497259
scaffold21941_Locus_31626_0_51.0_LINEAR_2519,LG1,106.06802408965514
scaffold13539_Locus_12959_0_50.4_COMPLEX_1191,LG1,112.88969975632115
scaffold40_Locus_11_3_43.9_COMPLEX_1336,LG1,120.34823286171603
Locus_2424_Contig1_863,LG1,124.44789276440954
C204158_61.0_1230,LG1,127.16242202335626
C211704_59.0_739,LG1,130.73141578202657
C201462_54.0_778,LG1,133.70100518177574
C201462_54.0_772,LG1,135.31173263312292
C211704_59.0_2026,LG1,139.2179665452274
C211704_59.0_2049,LG1,140.65904440384637
scaffold6278_Locus_2404_0_59.4_COMPLEX_757,LG1,148.89940835429627
scaffold14864_Locus_15415_1_51.9_FORK_1472,LG1,157.08168498558146
scaffold24047_Locus_38227_0_59.1_FORK_1614,LG1,160.30648899035904
